Original order	Date	Year	Month	Day	Temperature	Salinity	Chla 	Nitrate 	Phosphate 	Silicate 	Ammonium 	DOC 	TotalN	BacterialAbundance	BacterialProduction	BacterialProduction
1	2011-03-25	2011	3	25	1.5	6.35	1.323	2.35	0.55	11.2	0	361.04	17.53	1.35453113	8.2	0.608365414
2	2011-03-30	2011	3	30	1.5	6.5	1.486	2.135	0.55	13.17	0	493.1764586	18.39	2.597279641	6.3	0.467402696
3	2011-04-11	2011	4	11	2.4	6.3	4.601	1.01	0.45	12.9	0.7	390.0532856	19.01	2.058076085	19.3	1.431884449
4	2011-04-14	2011	4	14	2.5	6.5	13.454	0.135	0.42	8.46	0.3	386.5218381	18.26	2.426749256	37.8	2.804416175
5	2011-04-20	2011	4	20	4.3	6.3	5.879	0.33	0.28	10.78	0.23	388.9497083	17.77	3.368332157	69.1	5.126591474
6	2011-04-27	2011	4	27	5.9	6.3	0.737	0.29	0.11	3.31	0.38	813.4100835	16.54	4.593846721	56	4.15469063
7	2011-05-03	2011	5	3	4	6.3	1.215	0.185	0.18	5.22	2.52	569.2742483	21.11	NA	61	4.525645151
8	2011-05-06	2011	5	6	5	6.2	1.434	0.12	0.24	7.99	1.51	905.7917702	17.14	3.613256205	67.2	4.985628756
9	2011-05-09	2011	5	9	8.4	6.2	1.65	0.16	0.23	8.69	0.49	638.0639035	31.75	3.292058231	NA	NA
10	2011-05-12	2011	5	12	10	6.2	1.23	0.285	0.32	9.16	0.47	362.2186123	16.94	3.003274731	45.9	3.405362499
11	2011-05-16	2011	5	16	9.5	6.1	0.489	0.3	0.25	6.29	0.32	2409.477228	17.69	3.99515765	NA	NA
12	2011-05-19	2011	5	19	6	6.2	0.299	0.215	0.27	1.56	0.46	409.0593401	19.83	2.587338088	23.8	1.765743518
13	2011-05-23	2011	5	23	7.8	6.2	1.6	0.15	0.22	1.7	0.18	832.36709	16.58	3.604047548	37.2	2.759901633
14	2011-05-26	2011	5	26	8.4	6.3	0.715	0.13	0.16	3.24	0.28	394.492119	16.6	2.040587697	52.4	3.887603375
15	2011-06-01	2011	6	1	7.4	6.5	0.225	0.19	0.35	9.78	1.3	529.7171311	16.74	1.941759142	15.3	1.135120833
16	2011-06-07	2011	6	7	12	6.2	0.442	0.07	0.29	4.68	0.65	897.527202	16.64	1.416932011	13.4	0.994158115
17	2011-06-09	2011	6	9	13.3	6.1	0.393	0.17	0.16	2.8	0.43	391.6963897	16.36	5.689456309	28.3	2.099602586
18	2011-06-13	2011	6	13	15	6.1	0.72	0.25	0	4.52	0.77	417.6427195	17.86	5.936021481	47.3	3.509229764
19	2011-06-16	2011	6	16	16	6.1	1.24	0.21	0.07	7.62	1.01	437.2618725	16.9	5.035817177	53.6	3.97663246
20	2011-06-20	2011	6	20	15	6.85	1.703	0.59	0.14	5.66	0.56	484.7402228	18	2.480998589	72.1	5.349164186
21	2011-06-28	2011	6	28	16.5	6.8	2.125	0.24	0.18	7.78	0.62	606.58	21.53	2.355671473	36	2.670872548
22	2011-06-30	2011	6	30	16.7	6.7	2.253	0.33	0.13	8.33	0.68	595.1960542	23.59	2.799023143	56.7	4.206624263
23	2011-07-05	2011	7	5	16.4	6.75	3.03	0.09	0.07	6.33	0.81	NA	NA	1.216974723	35.2	2.611519825
24	2011-07-07	2011	7	7	16.5	NA	5.581	0.25	0.24	0.02	0.67	NA	NA	0.525323791	87.2	6.469446838
25	2011-07-11	2011	7	11	18	NA	1.523	0.1	0.17	4.47	0.5	429.0954001	19.07	1.615310313	177.3	13.1540473
26	2011-07-23	2011	7	23	18	NA	3.814	0.76	0.12	9.23	0.9	1544.321629	22.94	4.227131482	NA	NA
27	2011-07-27	2011	7	27	18	NA	2.145	0.52	0.16	7.24	0.72	434.0737602	19.98	6.388375464	31.9	2.366689841
28	2011-08-03	2011	8	3	18.2	NA	1.749	0.67	0.08	9.84	0.66	431.43	18.89	6.601118795	1.9	0.140962718
29	2011-08-10	2011	8	10	16.2	NA	1.708	0.54	0.09	9.22	0.67	507.7682036	17.9	4.319669946	27.7	2.055088044
30	2011-08-18	2011	8	18	17	NA	2.042	0.48	0.07	10.07	0.15	1155.322872	21.35	8.948370845	40.3	2.989893436
31	2011-08-22	2011	8	22	17	NA	2.346	0.69	0.06	10.62	0.58	627.3714651	18.11	5.999126296	51.1	3.7911552
