120322-bin51|PROKKA_MOD_00001	PF00202
120322-bin51|PROKKA_MOD_00002	PF02540
120322-bin51|PROKKA_MOD_00003	PF02321
120322-bin51|PROKKA_MOD_00004	PF02545
120322-bin51|PROKKA_MOD_00006	PF00849
120322-bin51|PROKKA_MOD_00007	PF01464
120322-bin51|PROKKA_MOD_00009	PF06155
120322-bin51|PROKKA_MOD_00010	PF02219
120322-bin51|PROKKA_MOD_00013	PF06230
120322-bin51|PROKKA_MOD_00015	PF13603
120322-bin51|PROKKA_MOD_00020	PF01189
120322-bin51|PROKKA_MOD_00021	PF00005
120322-bin51|PROKKA_MOD_00022	PF14490
120322-bin51|PROKKA_MOD_00025	PF01609
120322-bin51|PROKKA_MOD_00026	PF10082
120322-bin51|PROKKA_MOD_00028	PF13614
120322-bin51|PROKKA_MOD_00029	PF04932
120322-bin51|PROKKA_MOD_00032	PF03616
120322-bin51|PROKKA_MOD_00033	PF07662
120322-bin51|PROKKA_MOD_00035	PF02321
120322-bin51|PROKKA_MOD_00036	PF13437
120322-bin51|PROKKA_MOD_00037	PF13366
120322-bin51|PROKKA_MOD_00038	PF00873
120322-bin51|PROKKA_MOD_00039	PF00034
120322-bin51|PROKKA_MOD_00040	PF11827
120322-bin51|PROKKA_MOD_00041	PF00122
120322-bin51|PROKKA_MOD_00047	PF08242
120322-bin51|PROKKA_MOD_00048	PF00294
120322-bin51|PROKKA_MOD_00049	PF07700
120322-bin51|PROKKA_MOD_00050	PF00072
120322-bin51|PROKKA_MOD_00051	PF00006
120322-bin51|PROKKA_MOD_00052	PF00208
120322-bin51|PROKKA_MOD_00053	PF01058
120322-bin51|PROKKA_MOD_00054	PF00329
120322-bin51|PROKKA_MOD_00055	PF00346
120322-bin51|PROKKA_MOD_00056	PF01257
120322-bin51|PROKKA_MOD_00057	PF01512
120322-bin51|PROKKA_MOD_00058	PF10588
120322-bin51|PROKKA_MOD_00059	PF00146
120322-bin51|PROKKA_MOD_00060	PF12838
120322-bin51|PROKKA_MOD_00061	PF00499
120322-bin51|PROKKA_MOD_00062	PF00420
120322-bin51|PROKKA_MOD_00063	PF00361
120322-bin51|PROKKA_MOD_00064	PF00361
120322-bin51|PROKKA_MOD_00065	PF00361
120322-bin51|PROKKA_MOD_00067	PF06379
120322-bin51|PROKKA_MOD_00068	PF12695
120322-bin51|PROKKA_MOD_00069	PF03446
120322-bin51|PROKKA_MOD_00071	PF00487
120322-bin51|PROKKA_MOD_00072	PF12833
120322-bin51|PROKKA_MOD_00074	PF00999
120322-bin51|PROKKA_MOD_00075	PF01053
120322-bin51|PROKKA_MOD_00077	PF02643
120322-bin51|PROKKA_MOD_00078	PF00557
120322-bin51|PROKKA_MOD_00079	PF00437
120322-bin51|PROKKA_MOD_00080	PF00437
120322-bin51|PROKKA_MOD_00081	PF00581
120322-bin51|PROKKA_MOD_00082	PF01808
120322-bin51|PROKKA_MOD_00083	PF14401
120322-bin51|PROKKA_MOD_00084	PF00583
120322-bin51|PROKKA_MOD_00085	PF01435
120322-bin51|PROKKA_MOD_00086	PF00749
120322-bin51|PROKKA_MOD_00087	PF00749
120322-bin51|PROKKA_MOD_00088	PF09423
120322-bin51|PROKKA_MOD_00089	PF00579
120322-bin51|PROKKA_MOD_00090	PF02729
120322-bin51|PROKKA_MOD_00091	PF13147
120322-bin51|PROKKA_MOD_00092	PF02517
120322-bin51|PROKKA_MOD_00093	PF13590
120322-bin51|PROKKA_MOD_00095	PF01168
120322-bin51|PROKKA_MOD_00096	PF02518
120322-bin51|PROKKA_MOD_00097	PF02436
120322-bin51|PROKKA_MOD_00098	PF05117
120322-bin51|PROKKA_MOD_00099	PF06426
120322-bin51|PROKKA_MOD_00100	PF00999
120322-bin51|PROKKA_MOD_00101	PF02931
120322-bin51|PROKKA_MOD_00103	PF00589
120322-bin51|PROKKA_MOD_00104	PF00696
120322-bin51|PROKKA_MOD_00107	PF01648
120322-bin51|PROKKA_MOD_00108	PF12836
120322-bin51|PROKKA_MOD_00109	PF03976
120322-bin51|PROKKA_MOD_00110	PF00834
120322-bin51|PROKKA_MOD_00111	PF00795
120322-bin51|PROKKA_MOD_00112	PF02518
120322-bin51|PROKKA_MOD_00113	PF10369
120322-bin51|PROKKA_MOD_00114	PF07991
120322-bin51|PROKKA_MOD_00115	PF01379
120322-bin51|PROKKA_MOD_00116	PF02602
120322-bin51|PROKKA_MOD_00117	PF01592
120322-bin51|PROKKA_MOD_00118	PF00266
120322-bin51|PROKKA_MOD_00119	PF05227
120322-bin51|PROKKA_MOD_00120	PF00501
120322-bin51|PROKKA_MOD_00122	PF00977
120322-bin51|PROKKA_MOD_00123	PF04909
120322-bin51|PROKKA_MOD_00124	PF01370
120322-bin51|PROKKA_MOD_00126	PF13307
120322-bin51|PROKKA_MOD_00128	PF02586
120322-bin51|PROKKA_MOD_00129	PF05635
120322-bin51|PROKKA_MOD_00130	PF13177
120322-bin51|PROKKA_MOD_00131	PF07992
120322-bin51|PROKKA_MOD_00133	PF01965
120322-bin51|PROKKA_MOD_00134	PF12695
120322-bin51|PROKKA_MOD_00135	PF10056
120322-bin51|PROKKA_MOD_00138	PF00364
120322-bin51|PROKKA_MOD_00139	PF03977
120322-bin51|PROKKA_MOD_00140	PF00072
120322-bin51|PROKKA_MOD_00144	PF01180
120322-bin51|PROKKA_MOD_00145	PF08340
120322-bin51|PROKKA_MOD_00147	PF07885
120322-bin51|PROKKA_MOD_00149	PF07228
120322-bin51|PROKKA_MOD_00152	PF14522
120322-bin51|PROKKA_MOD_00153	PF13247
120322-bin51|PROKKA_MOD_00154	PF03916
120322-bin51|PROKKA_MOD_00155	PF11821
120322-bin51|PROKKA_MOD_00156	PF13442
120322-bin51|PROKKA_MOD_00159	PF00115
120322-bin51|PROKKA_MOD_00160	PF02433
120322-bin51|PROKKA_MOD_00161	PF13442
120322-bin51|PROKKA_MOD_00162	PF00903
120322-bin51|PROKKA_MOD_00163	PF12833
120322-bin51|PROKKA_MOD_00164	PF01261
120322-bin51|PROKKA_MOD_00165	PF06283
120322-bin51|PROKKA_MOD_00166	PF06283
120322-bin51|PROKKA_MOD_00167	PF01408
120322-bin51|PROKKA_MOD_00168	PF00884
120322-bin51|PROKKA_MOD_00169	PF01408
120322-bin51|PROKKA_MOD_00171	PF00856
120322-bin51|PROKKA_MOD_00173	PF00311
120322-bin51|PROKKA_MOD_00176	PF01471
120322-bin51|PROKKA_MOD_00177	PF13090
120322-bin51|PROKKA_MOD_00179	PF00183
120322-bin51|PROKKA_MOD_00180	PF01678
120322-bin51|PROKKA_MOD_00181	PF02518
120322-bin51|PROKKA_MOD_00182	PF00682
120322-bin51|PROKKA_MOD_00183	PF02441
120322-bin51|PROKKA_MOD_00184	PF03781
120322-bin51|PROKKA_MOD_00186	PF13776
120322-bin51|PROKKA_MOD_00192	PF13472
120322-bin51|PROKKA_MOD_00193	PF13472
120322-bin51|PROKKA_MOD_00194	PF00196
120322-bin51|PROKKA_MOD_00195	PF07730
120322-bin51|PROKKA_MOD_00198	PF01370
120322-bin51|PROKKA_MOD_00199	PF00482
120322-bin51|PROKKA_MOD_00200	PF00825
120322-bin51|PROKKA_MOD_00201	PF01809
120322-bin51|PROKKA_MOD_00202	PF02096
120322-bin51|PROKKA_MOD_00203	PF01709
120322-bin51|PROKKA_MOD_00204	PF13419
120322-bin51|PROKKA_MOD_00205	PF04367
120322-bin51|PROKKA_MOD_00207	PF01702
120322-bin51|PROKKA_MOD_00208	PF00885
120322-bin51|PROKKA_MOD_00209	PF01029
120322-bin51|PROKKA_MOD_00210	PF00448
120322-bin51|PROKKA_MOD_00211	PF01761
120322-bin51|PROKKA_MOD_00212	PF07883
120322-bin51|PROKKA_MOD_00213	PF02518
120322-bin51|PROKKA_MOD_00214	PF00072
120322-bin51|PROKKA_MOD_00216	PF13365
120322-bin51|PROKKA_MOD_00217	PF02082
120322-bin51|PROKKA_MOD_00218	PF00072
120322-bin51|PROKKA_MOD_00219	PF14821
120322-bin51|PROKKA_MOD_00220	PF01546
120322-bin51|PROKKA_MOD_00221	PF03091
120322-bin51|PROKKA_MOD_00222	PF02913
120322-bin51|PROKKA_MOD_00223	PF00072
120322-bin51|PROKKA_MOD_00224	PF06071
120322-bin51|PROKKA_MOD_00227	PF01578
120322-bin51|PROKKA_MOD_00233	PF03652
120322-bin51|PROKKA_MOD_00234	PF00483
120322-bin51|PROKKA_MOD_00236	PF00889
120322-bin51|PROKKA_MOD_00237	PF00318
120322-bin51|PROKKA_MOD_00238	PF00011
120322-bin51|PROKKA_MOD_00239	PF00011
120322-bin51|PROKKA_MOD_00240	PF01261
120322-bin51|PROKKA_MOD_00241	PF01165
120322-bin51|PROKKA_MOD_00242	PF05958
120322-bin51|PROKKA_MOD_00243	PF00588
120322-bin51|PROKKA_MOD_00244	PF00072
120322-bin51|PROKKA_MOD_00245	PF02347
120322-bin51|PROKKA_MOD_00246	PF01571
120322-bin51|PROKKA_MOD_00247	PF13365
120322-bin51|PROKKA_MOD_00249	PF04542
120322-bin51|PROKKA_MOD_00250	PF00109
120322-bin51|PROKKA_MOD_00251	PF00550
120322-bin51|PROKKA_MOD_00254	PF11969
120322-bin51|PROKKA_MOD_00256	PF03477
120322-bin51|PROKKA_MOD_00257	PF00117
120322-bin51|PROKKA_MOD_00258	PF00291
120322-bin51|PROKKA_MOD_00259	PF02348
120322-bin51|PROKKA_MOD_00260	PF00581
120322-bin51|PROKKA_MOD_00263	PF11984
120322-bin51|PROKKA_MOD_00267	PF08541
120322-bin51|PROKKA_MOD_00268	PF00501
120322-bin51|PROKKA_MOD_00269	PF13561
120322-bin51|PROKKA_MOD_00271	PF00364
120322-bin51|PROKKA_MOD_00272	PF02786
120322-bin51|PROKKA_MOD_00273	PF03780
120322-bin51|PROKKA_MOD_00276	PF00462
120322-bin51|PROKKA_MOD_00277	PF01645
120322-bin51|PROKKA_MOD_00278	PF14691
120322-bin51|PROKKA_MOD_00279	PF13590
120322-bin51|PROKKA_MOD_00280	PF00702
120322-bin51|PROKKA_MOD_00281	PF07876
120322-bin51|PROKKA_MOD_00282	PF04973
120322-bin51|PROKKA_MOD_00283	PF13521
120322-bin51|PROKKA_MOD_00284	PF00462
120322-bin51|PROKKA_MOD_00285	PF11896
120322-bin51|PROKKA_MOD_00286	PF00534
120322-bin51|PROKKA_MOD_00287	PF00462
120322-bin51|PROKKA_MOD_00288	PF00389
120322-bin51|PROKKA_MOD_00289	PF02660
120322-bin51|PROKKA_MOD_00290	PF00742
120322-bin51|PROKKA_MOD_00291	PF00696
120322-bin51|PROKKA_MOD_00292	PF01297
120322-bin51|PROKKA_MOD_00293	PF00005
120322-bin51|PROKKA_MOD_00294	PF00950
120322-bin51|PROKKA_MOD_00295	PF00009
120322-bin51|PROKKA_MOD_00296	PF00584
120322-bin51|PROKKA_MOD_00297	PF02357
120322-bin51|PROKKA_MOD_00298	PF00298
120322-bin51|PROKKA_MOD_00299	PF00687
120322-bin51|PROKKA_MOD_00300	PF00466
120322-bin51|PROKKA_MOD_00301	PF00542
120322-bin51|PROKKA_MOD_00302	PF00562
120322-bin51|PROKKA_MOD_00303	PF04997
120322-bin51|PROKKA_MOD_00304	PF00164
120322-bin51|PROKKA_MOD_00305	PF00177
120322-bin51|PROKKA_MOD_00306	PF00009
120322-bin51|PROKKA_MOD_00307	PF00338
120322-bin51|PROKKA_MOD_00308	PF00297
120322-bin51|PROKKA_MOD_00309	PF00573
120322-bin51|PROKKA_MOD_00310	PF00276
120322-bin51|PROKKA_MOD_00311	PF03947
120322-bin51|PROKKA_MOD_00312	PF00203
120322-bin51|PROKKA_MOD_00314	PF00237
120322-bin51|PROKKA_MOD_00315	PF00189
120322-bin51|PROKKA_MOD_00316	PF00252
120322-bin51|PROKKA_MOD_00317	PF00831
120322-bin51|PROKKA_MOD_00318	PF00366
120322-bin51|PROKKA_MOD_00319	PF00238
120322-bin51|PROKKA_MOD_00321	PF00281
120322-bin51|PROKKA_MOD_00322	PF00521
120322-bin51|PROKKA_MOD_00323	PF00204
120322-bin51|PROKKA_MOD_00324	PF02082
120322-bin51|PROKKA_MOD_00326	PF09678
120322-bin51|PROKKA_MOD_00329	PF00115
120322-bin51|PROKKA_MOD_00330	PF00116
120322-bin51|PROKKA_MOD_00331	PF04238
120322-bin51|PROKKA_MOD_00332	PF01040
120322-bin51|PROKKA_MOD_00335	PF00348
120322-bin51|PROKKA_MOD_00336	PF13197
120322-bin51|PROKKA_MOD_00340	PF06826
120322-bin51|PROKKA_MOD_00341	PF01653
120322-bin51|PROKKA_MOD_00342	PF01593
120322-bin51|PROKKA_MOD_00343	PF00248
120322-bin51|PROKKA_MOD_00344	PF01208
120322-bin51|PROKKA_MOD_00345	PF01218
120322-bin51|PROKKA_MOD_00346	PF01370
120322-bin51|PROKKA_MOD_00347	PF00571
120322-bin51|PROKKA_MOD_00348	PF00027
120322-bin51|PROKKA_MOD_00349	PF02575
120322-bin51|PROKKA_MOD_00350	PF13662
120322-bin51|PROKKA_MOD_00352	PF02445
120322-bin51|PROKKA_MOD_00354	PF00348
120322-bin51|PROKKA_MOD_00357	PF00543
120322-bin51|PROKKA_MOD_00358	PF00909
120322-bin51|PROKKA_MOD_00359	PF00543
120322-bin51|PROKKA_MOD_00360	PF00909
120322-bin51|PROKKA_MOD_00361	PF00873
120322-bin51|PROKKA_MOD_00362	PF13437
120322-bin51|PROKKA_MOD_00363	PF02321
120322-bin51|PROKKA_MOD_00364	PF09209
120322-bin51|PROKKA_MOD_00367	PF09334
120322-bin51|PROKKA_MOD_00370	PF00924
120322-bin51|PROKKA_MOD_00371	PF13484
120322-bin51|PROKKA_MOD_00372	PF03924
120322-bin51|PROKKA_MOD_00373	PF01145
120322-bin51|PROKKA_MOD_00374	PF01145
120322-bin51|PROKKA_MOD_00375	PF00589
120322-bin51|PROKKA_MOD_00376	PF01656
120322-bin51|PROKKA_MOD_00377	PF00365
120322-bin51|PROKKA_MOD_00379	PF01170
120322-bin51|PROKKA_MOD_00380	PF13275
120322-bin51|PROKKA_MOD_00381	PF00270
120322-bin51|PROKKA_MOD_00382	PF03747
120322-bin51|PROKKA_MOD_00384	PF00271
120322-bin51|PROKKA_MOD_00386	PF00313
120322-bin51|PROKKA_MOD_00389	PF00884
120322-bin51|PROKKA_MOD_00392	PF00884
120322-bin51|PROKKA_MOD_00393	PF00884
120322-bin51|PROKKA_MOD_00394	PF00884
120322-bin51|PROKKA_MOD_00395	PF02073
120322-bin51|PROKKA_MOD_00397	PF00962
120322-bin51|PROKKA_MOD_00398	PF01544
120322-bin51|PROKKA_MOD_00399	PF00924
120322-bin51|PROKKA_MOD_00400	PF05618
120322-bin51|PROKKA_MOD_00401	PF04952
120322-bin51|PROKKA_MOD_00402	PF08443
120322-bin51|PROKKA_MOD_00403	PF00476
120322-bin51|PROKKA_MOD_00404	PF00294
120322-bin51|PROKKA_MOD_00405	PF00667
120322-bin51|PROKKA_MOD_00406	PF01077
120322-bin51|PROKKA_MOD_00407	PF12847
120322-bin51|PROKKA_MOD_00410	PF06961
120322-bin51|PROKKA_MOD_00412	PF13672
120322-bin51|PROKKA_MOD_00413	PF13307
120322-bin51|PROKKA_MOD_00414	PF01128
120322-bin51|PROKKA_MOD_00415	PF00215
120322-bin51|PROKKA_MOD_00417	PF02896
120322-bin51|PROKKA_MOD_00418	PF02826
120322-bin51|PROKKA_MOD_00419	PF00534
120322-bin51|PROKKA_MOD_00420	PF01627
120322-bin51|PROKKA_MOD_00421	PF03739
120322-bin51|PROKKA_MOD_00423	PF01235
120322-bin51|PROKKA_MOD_00424	PF02416
120322-bin51|PROKKA_MOD_00426	PF04542
120322-bin51|PROKKA_MOD_00427	PF01807
120322-bin51|PROKKA_MOD_00430	PF00507
120322-bin51|PROKKA_MOD_00431	PF02457
120322-bin51|PROKKA_MOD_00432	PF00290
120322-bin51|PROKKA_MOD_00433	PF04403
120322-bin51|PROKKA_MOD_00434	PF04403
120322-bin51|PROKKA_MOD_00435	PF02470
120322-bin51|PROKKA_MOD_00436	PF03886
120322-bin51|PROKKA_MOD_00438	PF07635
120322-bin51|PROKKA_MOD_00439	PF00817
120322-bin51|PROKKA_MOD_00440	PF01580
120322-bin51|PROKKA_MOD_00441	PF01238
120322-bin51|PROKKA_MOD_00442	PF01025
120322-bin51|PROKKA_MOD_00443	PF00226
120322-bin51|PROKKA_MOD_00444	PF00551
120322-bin51|PROKKA_MOD_00445	PF06325
120322-bin51|PROKKA_MOD_00446	PF13413
120322-bin51|PROKKA_MOD_00448	PF12127
120322-bin51|PROKKA_MOD_00451	PF01263
120322-bin51|PROKKA_MOD_00452	PF02254
120322-bin51|PROKKA_MOD_00453	PF02386
120322-bin51|PROKKA_MOD_00454	PF13370
120322-bin51|PROKKA_MOD_00455	PF01694
120322-bin51|PROKKA_MOD_00456	PF03572
120322-bin51|PROKKA_MOD_00457	PF02823
120322-bin51|PROKKA_MOD_00458	PF00006
120322-bin51|PROKKA_MOD_00459	PF00231
120322-bin51|PROKKA_MOD_00460	PF00006
120322-bin51|PROKKA_MOD_00461	PF00213
120322-bin51|PROKKA_MOD_00462	PF00430
120322-bin51|PROKKA_MOD_00464	PF00119
120322-bin51|PROKKA_MOD_00466	PF02390
120322-bin51|PROKKA_MOD_00468	PF00128
120322-bin51|PROKKA_MOD_00469	PF00487
120322-bin51|PROKKA_MOD_00470	PF02800
120322-bin51|PROKKA_MOD_00471	PF00162
120322-bin51|PROKKA_MOD_00472	PF00121
120322-bin51|PROKKA_MOD_00473	PF00698
