120322-bin51|PROKKA_MOD_00001	COG0001
120322-bin51|PROKKA_MOD_00002	COG0171
120322-bin51|PROKKA_MOD_00003	COG1538
120322-bin51|PROKKA_MOD_00004	COG0424
120322-bin51|PROKKA_MOD_00006	COG0564
120322-bin51|PROKKA_MOD_00009	COG3536
120322-bin51|PROKKA_MOD_00010	COG0685
120322-bin51|PROKKA_MOD_00013	COG3494
120322-bin51|PROKKA_MOD_00015	COG0495
120322-bin51|PROKKA_MOD_00020	COG0144
120322-bin51|PROKKA_MOD_00021	COG0178
120322-bin51|PROKKA_MOD_00022	COG0507
120322-bin51|PROKKA_MOD_00027	COG1596
120322-bin51|PROKKA_MOD_00028	COG0489
120322-bin51|PROKKA_MOD_00033	COG1972
120322-bin51|PROKKA_MOD_00035	COG1538
120322-bin51|PROKKA_MOD_00036	COG0845
120322-bin51|PROKKA_MOD_00038	COG3696
120322-bin51|PROKKA_MOD_00041	COG2217
120322-bin51|PROKKA_MOD_00048	COG1105
120322-bin51|PROKKA_MOD_00050	COG0642
120322-bin51|PROKKA_MOD_00051	COG1158
120322-bin51|PROKKA_MOD_00052	COG0334
120322-bin51|PROKKA_MOD_00053	COG0377
120322-bin51|PROKKA_MOD_00054	COG0852
120322-bin51|PROKKA_MOD_00055	COG0649
120322-bin51|PROKKA_MOD_00056	COG1905
120322-bin51|PROKKA_MOD_00057	COG1894
120322-bin51|PROKKA_MOD_00059	COG1005
120322-bin51|PROKKA_MOD_00060	COG1143
120322-bin51|PROKKA_MOD_00061	COG0839
120322-bin51|PROKKA_MOD_00062	COG0713
120322-bin51|PROKKA_MOD_00063	COG1009
120322-bin51|PROKKA_MOD_00064	COG1008
120322-bin51|PROKKA_MOD_00065	COG1007
120322-bin51|PROKKA_MOD_00068	COG2945
120322-bin51|PROKKA_MOD_00069	COG2084
120322-bin51|PROKKA_MOD_00071	COG2871
120322-bin51|PROKKA_MOD_00072	COG2207
120322-bin51|PROKKA_MOD_00074	COG0475
120322-bin51|PROKKA_MOD_00075	COG2873
120322-bin51|PROKKA_MOD_00077	COG1430
120322-bin51|PROKKA_MOD_00078	COG0006
120322-bin51|PROKKA_MOD_00079	COG2805
120322-bin51|PROKKA_MOD_00080	COG2805
120322-bin51|PROKKA_MOD_00081	COG0607
120322-bin51|PROKKA_MOD_00082	COG0138
120322-bin51|PROKKA_MOD_00083	COG0189
120322-bin51|PROKKA_MOD_00084	COG0456
120322-bin51|PROKKA_MOD_00085	COG4783
120322-bin51|PROKKA_MOD_00086	COG0008
120322-bin51|PROKKA_MOD_00087	COG0008
120322-bin51|PROKKA_MOD_00089	COG0180
120322-bin51|PROKKA_MOD_00090	COG0540
120322-bin51|PROKKA_MOD_00091	COG0044
120322-bin51|PROKKA_MOD_00095	COG0787
120322-bin51|PROKKA_MOD_00096	COG0642
120322-bin51|PROKKA_MOD_00097	COG5016
120322-bin51|PROKKA_MOD_00099	COG1045
