120322-bin51|PROKKA_MOD_00001	5.4.3.8
120322-bin51|PROKKA_MOD_00002	6.3.5.1
120322-bin51|PROKKA_MOD_00006	5.4.99.26
120322-bin51|PROKKA_MOD_00010	1.5.1.20
120322-bin51|PROKKA_MOD_00015	6.1.1.4
120322-bin51|PROKKA_MOD_00020	2.1.1.176
120322-bin51|PROKKA_MOD_00022	3.1.11.5
120322-bin51|PROKKA_MOD_00028	2.7.10.2
120322-bin51|PROKKA_MOD_00041	3.6.3.53
120322-bin51|PROKKA_MOD_00046	4.1.2.4
120322-bin51|PROKKA_MOD_00048	2.7.1.144
120322-bin51|PROKKA_MOD_00050	2.7.13.3
120322-bin51|PROKKA_MOD_00051	3.6.4.-
120322-bin51|PROKKA_MOD_00052	1.4.1.3
120322-bin51|PROKKA_MOD_00053	1.6.99.5
120322-bin51|PROKKA_MOD_00054	1.6.99.5
120322-bin51|PROKKA_MOD_00055	1.6.99.5
120322-bin51|PROKKA_MOD_00056	1.6.99.5
120322-bin51|PROKKA_MOD_00057	1.6.99.5
120322-bin51|PROKKA_MOD_00058	1.6.99.5
120322-bin51|PROKKA_MOD_00059	1.6.99.5
120322-bin51|PROKKA_MOD_00060	1.6.99.5
120322-bin51|PROKKA_MOD_00061	1.6.99.5
120322-bin51|PROKKA_MOD_00062	1.6.99.5
120322-bin51|PROKKA_MOD_00063	1.6.99.5
120322-bin51|PROKKA_MOD_00064	1.6.5.-
120322-bin51|PROKKA_MOD_00065	1.6.99.5
120322-bin51|PROKKA_MOD_00069	1.1.1.60
120322-bin51|PROKKA_MOD_00071	1.6.5.-
120322-bin51|PROKKA_MOD_00073	4.4.1.11
120322-bin51|PROKKA_MOD_00075	4.4.1.11
120322-bin51|PROKKA_MOD_00078	3.4.13.9
120322-bin51|PROKKA_MOD_00086	6.1.1.17
120322-bin51|PROKKA_MOD_00087	6.1.1.18
120322-bin51|PROKKA_MOD_00089	6.1.1.2
120322-bin51|PROKKA_MOD_00090	2.1.3.2
120322-bin51|PROKKA_MOD_00091	3.5.2.3
120322-bin51|PROKKA_MOD_00095	5.1.1.1
120322-bin51|PROKKA_MOD_00096	2.7.13.3
120322-bin51|PROKKA_MOD_00097	2.1.3.1
120322-bin51|PROKKA_MOD_00099	2.3.1.30
120322-bin51|PROKKA_MOD_00104	2.3.1.1
120322-bin51|PROKKA_MOD_00110	5.1.3.1
120322-bin51|PROKKA_MOD_00111	3.5.1.100
120322-bin51|PROKKA_MOD_00112	2.7.13.3
120322-bin51|PROKKA_MOD_00113	2.2.1.6
120322-bin51|PROKKA_MOD_00114	1.1.1.86
120322-bin51|PROKKA_MOD_00115	2.5.1.61
120322-bin51|PROKKA_MOD_00116	2.1.1.107
120322-bin51|PROKKA_MOD_00118	2.8.1.7
120322-bin51|PROKKA_MOD_00119	2.7.13.3
120322-bin51|PROKKA_MOD_00120	6.2.1.1
120322-bin51|PROKKA_MOD_00122	4.1.3.-
120322-bin51|PROKKA_MOD_00124	5.1.3.2
120322-bin51|PROKKA_MOD_00130	2.7.7.7
120322-bin51|PROKKA_MOD_00131	1.16.1.1
120322-bin51|PROKKA_MOD_00138	2.1.3.1
120322-bin51|PROKKA_MOD_00139	4.1.1.70
120322-bin51|PROKKA_MOD_00144	1.3.5.2
120322-bin51|PROKKA_MOD_00149	3.1.3.3
120322-bin51|PROKKA_MOD_00159	1.9.3.1
120322-bin51|PROKKA_MOD_00162	4.4.1.5
120322-bin51|PROKKA_MOD_00164	5.3.1.-
120322-bin51|PROKKA_MOD_00167	1.-.-.-
120322-bin51|PROKKA_MOD_00168	3.1.6.1
120322-bin51|PROKKA_MOD_00169	1.1.1.18
120322-bin51|PROKKA_MOD_00173	4.1.1.31
120322-bin51|PROKKA_MOD_00176	2.-.-.-
120322-bin51|PROKKA_MOD_00177	2.7.4.1
120322-bin51|PROKKA_MOD_00180	5.1.1.7
120322-bin51|PROKKA_MOD_00181	2.7.13.3
120322-bin51|PROKKA_MOD_00182	2.3.3.13
120322-bin51|PROKKA_MOD_00184	2.7.11.1
120322-bin51|PROKKA_MOD_00195	2.7.13.3
120322-bin51|PROKKA_MOD_00197	2.7.1.6
120322-bin51|PROKKA_MOD_00198	5.1.3.2
120322-bin51|PROKKA_MOD_00200	3.1.26.5
120322-bin51|PROKKA_MOD_00204	3.1.3.-
120322-bin51|PROKKA_MOD_00207	2.4.2.29
120322-bin51|PROKKA_MOD_00208	2.5.1.78
120322-bin51|PROKKA_MOD_00211	4.2.3.4
120322-bin51|PROKKA_MOD_00213	2.7.13.3
120322-bin51|PROKKA_MOD_00216	3.4.21.107
120322-bin51|PROKKA_MOD_00219	4.2.3.1
120322-bin51|PROKKA_MOD_00220	3.5.1.18
120322-bin51|PROKKA_MOD_00222	1.-.-.-
120322-bin51|PROKKA_MOD_00223	2.7.13.3
120322-bin51|PROKKA_MOD_00233	3.1.-.-
120322-bin51|PROKKA_MOD_00234	2.7.7.13
120322-bin51|PROKKA_MOD_00242	2.1.1.189
120322-bin51|PROKKA_MOD_00243	2.1.1.208
120322-bin51|PROKKA_MOD_00245	1.4.4.2
120322-bin51|PROKKA_MOD_00246	2.1.2.10
120322-bin51|PROKKA_MOD_00250	2.3.1.179
120322-bin51|PROKKA_MOD_00252	1.3.99.31
120322-bin51|PROKKA_MOD_00254	3.-.-.-
120322-bin51|PROKKA_MOD_00257	4.1.3.27
120322-bin51|PROKKA_MOD_00258	4.2.1.20
120322-bin51|PROKKA_MOD_00259	2.7.7.38
120322-bin51|PROKKA_MOD_00264	2.3.1.-
120322-bin51|PROKKA_MOD_00265	1.1.1.100
120322-bin51|PROKKA_MOD_00267	2.3.1.180
120322-bin51|PROKKA_MOD_00268	6.2.1.3
120322-bin51|PROKKA_MOD_00269	1.1.1.100
120322-bin51|PROKKA_MOD_00272	6.3.4.14
120322-bin51|PROKKA_MOD_00277	1.4.7.1
120322-bin51|PROKKA_MOD_00278	1.4.1.13
120322-bin51|PROKKA_MOD_00285	2.4.99.16
120322-bin51|PROKKA_MOD_00286	2.4.1.21
120322-bin51|PROKKA_MOD_00288	1.1.1.95
120322-bin51|PROKKA_MOD_00289	2.3.1.-
